Company,Type
--,Agent
10Life Group Limited,Agent
19277-4 (Aston Carter),Agent
2GoTrade Ltd,Agent
365 Technologies Holding Limited,Agent
3PL-Total Technology (HK) Limited,Agent
4S Imaging Expert Limited,Agent
A Financial Service Institution,Agent
A Match Consultant Limited,Agent
A. R. Medicom Inc. (Asia) Limited,Company
A.S. Watson Group (HK) Limited,Company
ABC Assessment Group Limited,Agent
abc Multiactive (Hong Kong) Ltd,Agent
About Social Enterprise Innovations Limited,Agent
Accenture Technology Solutions (HK) Ltd,Company
ACG (Able Communications Group),Agent
Acton Consulting Limited,Agent
ADECCO,Agent
Adel Group (Asia) Ltd,Agent
Admango.com Ltd,Agent
Advanced Card Systems Limited,Agent
Advanced Integration Systems Ltd,Agent
Advanze Solutions Limited,Agent
Aecom Asia Company Limited,Agent
"AEON CREDIT SERVICE (ASIA) CO., LTD.",Company
AFM Ltd,Agent
AfterShip Ltd.,Agent
AGA Affinity Group Asia Limited,Agent
Agile 1 Hong Kong - Asia Pacific Limited,Agent
AGroup Company,Agent
AGS Group Limited,Agent
Ahsay Systems Corporation Limited,Agent
Ai Pu Jing Software Technology (Hong Kong) Co Ltd,Agent
AIA Hong Kong and Macau,Company
AIA International Limited,Company
Aim System Ltd,Agent
aimHigher Consultancy Limited,Agent
ALBA Integrated Waste Solutions (Hong Kong) Limited,Agent
Alco Electronics Ltd,Company
Allystar Technoloy Co. Limited,Agent
AMAC Human Resources Consultants (????????) (formerly as Centaline Human Resources Consultants),Agent
Amber Road (Hong Kong) Limited,Agent
Ambi Labs Limited,Agent
Ambition,Agent
Ambitious People,Agent
AMC Systems Limited,Agent
American Phil Textiles Ltd,Company
Amino Technologies (HK) Limited,Agent
AMPD Energy Limited,Agent
Andrew Found Limited,Agent
Angliss Hong Kong Food Service Ltd,Company
ANX International Limited,Company
"Apple Service Consultancy Co., Limited",Agent
Application Technology Co Ltd,Agent
Apps1010 Limited,Agent
Appsture Technology Limited,Agent
Arcotect Ltd,Agent
Argyll Scott Asia,Agent
Aria Global Limited,Agent
Armitage Technologies Ltd,Agent
Artesyn Embedded Technologies (Hong Kong) Limited,Agent
Asia Allied Infrastructure Holdings Limited,Agent
Asia Pacific Offset Limited,Company
Asia Port Services Limited,Company
Asia Satellite Telecommunications Co Ltd,Company
AsiaHub Consulting Ltd,Agent
Asian Aim Service Ltd,Agent
AsiaPay (HK) Ltd,Company
AsiaWorld-Expo Management Limited,Company
ASM Technology Hong Kong Limited,Agent
ASM Technology Hong Kong Ltd.,Agent
Aspire,Agent
ATA - Aacurapid Talent Acquisition,Agent
ATA â€“ Aacurapid Talent Acquisition,Agent
Attivo Consulting Limited,Agent
AutoSimply Company Limited (International Sage Software Developer),Agent
Avalon BioMedical (Management) Limited,Company
Avalon Spinecare (HK) Limited,Company
Avante Group Limited,Company
Aves Asia Limited,Agent
Axline Commercial Services Ltd,Agent
B & T Security,Company
Babelland Technology Ltd,Agent
"Banclogix System Co., Limited",Agent
Bank Consortium Trust Co. Ltd.,Company
Bank of China (Hong Kong) Limited,Company
"Bank of Communications Co., Ltd. Hong Kong Branch",Company
Bank of Communications Trustee Limited,Company
Bayou Technology Services Limited,Agent
BBPOS Limited,Agent
Beamstyle Limited,Agent
Beauty Home Group Limited,Company
Become Recruitment,Agent
Belos Capital (Asia) Limited,Agent
Belt Collins International (HK) Limited,Agent
Belton Group,Agent
Besway Asia Limited,Agent
BGC Group (HK) Limited,Agent
BIB Solutions Limited,Agent
BID N EAT Co. Limited,Agent
Bigazines Consulting Limited,Agent
BII Transit Systems (HK) Company Limited,Agent
Bindo Labs Limited,Agent
Bizspoke Technology Company Limited,Agent
Blue Ocean Lab Limited,Agent
Boardroom Share Registrars (HK) Limited,Agent
BOC Credit Card (International) Ltd,Company
BOC International Holdings Ltd,Company
BOCI-Prudential Asset Management Ltd,Company
Bond West Consultants,Agent
Borntofly Limited (CoCoon),Company
Boss Digital,Agent
Boutir Limited,Agent
BUPA Asia Limited,Company
Bureau Veritas Hong Kong Limited,Company
Businsoft Limited,Agent
BW Global (HK) Ltd,Company
Caf? de Coral Holdings Limited,Company
Canon Hongkong Company Limited,Company
Capgemini Hong Kong Limited,Agent
Capital Financial Press Limited,Agent
Captiare Limited,Agent
Carbon International Limited,Agent
Career Search AP (Hong Kong) Company,Agent
Cargo Services Far East Limited,Company
CASH  Financial Services Group Limited,Company
CASH Algo Finance Group Limited,Company
Catalo Natural Health Foods Limited,Company
Cathay Pacific Catering Services (HK) Limited,Company
Cathay Pacific Services Limited,Company
CC Information Limited,Agent
cccdi Limited,Company
Celebrate Club Limited,Agent
Celki Medical Company,Company
Centaline Data Technology Limited,Agent
Centrix Professionals - Recruitment Agency Division,Agent
Century City Holdings Limited,Company
Chain Technology Development Co. Limited,Agent
Chandler Macleod,Agent
Charterhouse Partnership,Agent
Cherrypicks Limited,Agent
Chevalier Group - Corporate Office,Company
Chief Holdings (H.K.) Limited,Company
Chief Tech Electronics Limited,Agent
China CITIC Bank International Limited,Company
China Mobile Hong Kong ??????,Company
China Mobile Hong Kong Company Limited,Company
China Mobile International Limited,Company
China Resources Logistics (Group) Limited,Company
China Securities (International) Finance Holding Company Limited,Company
China Taiping Life Insurance (Hong Kong) Company Limited,Company
China Telecom Global Limited,Company
Chinaoil (Hong Kong) Corporation Ltd.,Company
Chong Hing Bank Ltd,Company
Chow Sang Sang Holdings International Limited,Company
Chow Sang Sang Securities Ltd,Company
CHOW TAI FOOK JEWELLERY CO LTD,Company
Christelle Limited,Company
Circus Limited,Company
"CISD (Asia) Co., Ltd.",Company
CITIC Securities Brokerage (HK) Limited,Company
CITIC Telecom International Holdings Limited,Company
City Computing Limited,Agent
City Super Ltd,Company
Cityline (Hong Kong) Limited,Company
CK Hutchison Holdings Limited,Company
CL Smart Sourcing Limited,Agent
CL Technical Services Ltd.,Agent
Claremont Consulting APAC Limited,Agent
Classroom Publications Ltd,Agent
Classy Wheeler Limited,Agent
ClinicOne Healthcare Solutions Limited,Agent
CLP Holdings Limited,Company
CMB International Capital Corporation Limited,Company
Coagenc Limited,Agent
Cognizant Technology Solutions Hong Kong Limited,Agent
Cogs Agency (Hong Kong) Limited,Agent
Colourmix Cosmetics Company Limited,Company
Compass Offices,Agent
Computer And Technologies Resources Limited,Agent
Computer Recruitment Consultants Ltd,Agent
ConnectedGroup Limited,Agent
Conners Consulting Limited,Agent
Consumer Council,Agent
Continuous Technologies International Ltd,Agent
Convenience Retail Asia Ltd,Company
Convoy Global Holdings Limited,Company
Convoy Payments Limited,Company
Cordex Intelligence Limited,
Core Pacific - Yamaichi Int'l (H.K.) Ltd,
Cornerstone Global Partners,
Cosme De Net Company Limited,
Coulla Limited,
Creasant Digital Limited,
Creative Design Ltd,
Crecon Limited,
Creote Studio Limited,
Crestron ANZ Pty Limited,
Crossings Executive Search,
csl.,
"D. S. Cheung & Co., Solicitors",
Dah Chong Hong Holdings  Limited,
Dah Sing Financial Group,
Damco Hong Kong Limited,
Dataplugs Limited,
David Hall Personnel Consultant,
David James Recruitment Limited,
DB Power Online Limited,
DBS Bank Ltd,
DDB Worldwide Limited,
Deloitte Touche Tohmatsu,
Delta Connect Hong Kong Limited,
Derivco Hong Kong,
Designercity (HK) Ltd ? Mirum Hong Kong,
DHL EXPRESS (HONG KONG) LIMITED,
Dickson Concepts Ltd,
Digitcube.com Limited,
DJRecruit Asia Limited,
DNA Recruit Partners Limited,
Don Nelson Recruitment Limited,
Dow Jones & Co,
Drake International and Vertical Talent HK,
Drake Overload Ltd,
DynaSys Solutions Limited,
EAB Systems,
Eagle Consultants Ltd,
Eagle Group International Limited,
Eastwood Consultants Ltd,
Easy Services HR Consultancy Limited,
EB Services Limited,
eBay International Hong Kong Limited,
Ebro Executive Search Limited,
E-Business Solutions Limited,
Eclipse Trading,
EDPS Systems Limited,
Edwin McAuley Electronics Ltd,
EIDEALINK LIMITED,
Elee Consulting Limited,
ELM Computer Technologies Limited,
Emperor Investment (Management) Limited,
Endeavour Search Limited,
Enjoyable Way Limited,
EPAM Systems (Hong Kong) Limited,
eRun Systems Ltd,
ESA Communications Limited,
ESD Services Limited (ESDlife),
ESG Hong Kong Limited,
Esquel Enterprises Limited,
eSun Holdings Limited,
Eternity Consultants (HK) Ltd,
Eu Yan Sang (HK) Ltd,
EVI Services Limited,
Ewell Hong Kong Limited,
Exactal Limited,
Excel Technology International (Hong Kong) Limited,
Excellent Management Limited (??????????),
ExcelNet Total HR Solutions,
Fano Labs Limited,
Fimmick Limited,
Flatiron Venture Builders,
Flex Consultancy Limited,
FlexSystem Limited,
Fong's National Engineering Co Ltd,
ForeNodes Technology Ltd,
Foreseers Limited,
Forever Power Technology Limited,
Fountain Set (Holdings) Limited,
Frank Recruitment Group Private Ltd,
FrankAsia Search Limited,
freeD Group Limited,
FreightAmigo Limited,
Fresh Media Concepts Limited,
FringeBacker,
Fubon Bank (Hong Kong) Limited,
Fuji Dynamics Limited,
Fuji Photo Products Co Ltd,
Fuji Xerox (Hong Kong) Ltd,
Fuji Xerox Document Management Solutions Asia Limited (FXDMS),
Fusion Limited,
Fusion Systems Limited,
Fusion Systems Ltd,
Futec International Holdings Limited,
Future Financial Technology,
Futurestep (Hong Kong) Limited,
FWD Life Insurance Company (Bermuda) Limited,
FXCM,
FXHB Group Company Limited,
Galen MRI Systems Limited,
Gameone Group Limited,
Gammon Construction Ltd,
Gang Piao Jia Limited,
Gap International Sourcing Ltd,
GDC Technology Limited,
GELEC (HK) Limited,
Gemalto Technologies Asia Limited,
Gemini Personnel Limited,
George Samuel Associates Ltd.,
Germton Enterprises Limited,
GF Holdings (Hong Kong) Corporation Ltd,
Gibson Innovations Limited,
Gleneagles Hong Kong Hospital,
Global Associates,
Global Best Incorporation Limited,
Global Development Co,
Global eSolutions (HK) Limited,
Global e-Trading Services Limited,
Global Executive Consultants Ltd.,
Global Links Consulting,
Global Logistics System (HK) Company Limited  ????????,
Global Search Inc. Limited,
Global Sources,
Global Talent Services Limited,
Global Technology Integrator Ltd,
Go Change Pro,
GoAnimate Hong Kong Limited,
God Plants Technology Company Limited,
Godwin Consultancy,
Goji Management Limited,
Gorilla Group Limited,
GrammyTech Ltd,
Grandpay Limited,
Gravitas Recruitment Group (Hong Kong) Limited,
Green Tomato Limited,
GreySpark Partners (HK) Limited,
Gulf Connexions Limited,
"Guosen Securities (HK) Financial Holdings Company, Limited",
Guru Online,
H.K.S.G. Media Limited,
HACTL Solutions Limited (HSL),
Hamptontci Limited,
Hanbo Enterprises Ltd,
Hang Seng Bank Ltd,
Hanson Robotics Limited,
Hays,
Haystar Consultant Limited,
HCL Hong Kong SAR Limited,
Headsearch21 Consultancy Ltd,
Hecny Transportation Ltd,
HGC Global Communications Limited,
Hillman Ross,
HillmanStep Limited,
"HK King's Group Holding Co., Limited",
HK Systems Limited,
HKC Technology Limited,
HKCOLO.NET Limited,
HKT,
HKTT Limited,
Homebb Limited,
Hong Chi Association,
Hong Kong Applied Science and Technology Research Institute Company Limited,
"Hong Kong Asian Ark Technologies Co., Limited",
Hong Kong Baptist University,
Hong Kong Cancer Fund,
Hong Kong College of Technology,
Hong Kong Communications Company Limited,
Hong Kong Disneyland,
Hong Kong Examinations and Assessment Authority,
Hong Kong Exchanges and Clearing Limited,
Hong Kong Housing Society,
Hong Kong Interbank Clearing Ltd,
Hong Kong International Arbitration Centre,
Hong Kong Internet Registration Corporation Limited,
Hong Kong L P Gas (Holdings) Ltd,
Hong Kong Life Insurance Limited,
Hong Kong Productivity Council,
Hong Kong Quality Assurance Agency,
Hong Kong R&D Centre for Logistics and Supply Chain Management Enabling Technologies Limited,
Hong Kong Television Network Limited,
Hong Leong Insurance (Asia) Limited,
Hongkong Sales (Knitwear) Ltd,
Hongkong United Dockyards Ltd,
Hotmob Limited,
Huajin Financial (International) Holdings Limited,
Hudson,
Human Health (H.K.) Limited,
Hutchison China MediTech (HK) Limited,
Hutchison Ports,
Hutchison Telecommunications (Hong Kong) Limited,
Hutchison Travel Limited (hutchgo.com),
I.T Apparels Limited,
IAAS Consulting Group,
iAsia Online Systems Limited,
i-CABLE Communications Limited,
ICBC Credit Card Centre (Int'l),
ICO Limited,
iCON Business Systems Ltd,
Ignitor Media Solutions Limited,
IHP Limited,
Ikas International (Asia) Limited,
ILIFE INNOVATION LIMITED,
IMC (Hong Kong) Management Services Limited,
Imperium Bullion Company Limited,
Industrial and Commercial Bank of China (Asia) Limited,
Industrial and Commercial Bank of China (Asia) Limited / ICBC,
Infinite Financial Solutions Limited,
Infocast Limited,
Infocean Technology Co Ltd,
InfoTech Services ( HK ) Ltd. ??????(??)????,
Infotronic Technology Limited,
Infoware Systems Ltd,
Infrasys International Limited,
Innocorp Limited,
Innovaders Limited,
Insight Robotics Limited,
Integrated Corporation,
Integrated Enterprise Solutions Ltd.,
Integrated Global Solutions Limited,
Integrated Solutions Ltd,
Intelligence Hong Kong,
Intercontinental Interactive Limited,
ISS Facility Services Limited,
IT - Partners Limited,
IT Consulting Solutions Limited,
IT Solutions Ltd.,
IT Workforce Limited,
ITApps Ltd,
J.H. Power Limited,
"JAC Recruitment Hong Kong Co., Limited",
Jardine OneSolution (HK) Ltd,
JCDecaux Pearl & Dean Limited,
Jetour Resources Management Limited,
JHC (International) Limited,
JM Partner Limited,
JNL Consulting Limited,
jobsDB Hong Kong,
Joint Wisdom Engineering Limited,
Jolly Recruitment Limited,
JPC Texson Limited,
JSI Logistics (Hong Kong) Limited,
Kai Shing Management Services Ltd,
Kaiser Bloc Limited,
Kam Lung Motor Group Limited,
Kami Intelligence Limited,
KanHan Technologies Ltd,
Karin Technology Holdings Ltd.,
KEK Consultancy Company Limited,
Kelly Services Hong Kong Limited,
Kenfil Hong Kong Ltd,
Kepro Solutions Limited,
Kering Asia Pacific Limited,
Kerry Logistics,
Kerry Properties Limited,
Kin Yat Holdings Limited,
Kinetix Systems Ltd,
King Page Limited,
Kodak (China) Limited,
Konew Financial Express Limited,
Konica Minolta Business Solutions (HK) Limited,
Kontec Development Limited,
Kooppi Limited,
Kopin (HK) Limited,
Kowloon Development Company Ltd,
Kuehne + Nagel Ltd.,
Kuiyi Limited,
KVB Kunlun Group,
Kyocera Document Solutions Hong Kong Limited,
Laboratory JaneClare Limited,
Lalamove,
Lam Soon (Hong Kong) Limited,
Lan Kwai Fong Group,
Lascar Electronics (HK) Limited,
Latitude Limited,
LAWSGROUP,
Lazybug Studio Limited,
Leadership Solutions Limited,
"LEAP@HK,Hong Kong Science & Technology Parks Corporation",
Lee Kum Kee (Hong Kong) Foods Ltd,
Lee Kum Kee International Holdings Limited,
Legato Technologies Limited,
Lei Garden Restaurant Group,
Lemongene Technology Limited,
Li & Fung (Trading) Ltd,
Li & Fung Ltd,
Lindy Williams,
LINE Fukuoka Corporation,
Link Asset Management Limited,
Linkers International Limited,
Lion Rock Group Limited,
Liricco Technologies Limited,
Lively Impact Technology Limited,
LKK Health Products Group Limited,
Lolli Media Limited,
Lotus Tours Ltd,
Luk Fook Financial Services Limited,
LUXE SURVEYOR Ltd,
M & R Forwarding (HK) Limited,
M B L Personnel Consultants Co,
M800 Limited,
Ma Belle Jewellery Co Ltd,
Macro Systems Ltd,
Macroview Telecom Limited,
Macy's Merchandising Group International (Hong Kong) Limited,
Mad Head App Limited,
Mad Macs Technology Distributions Limited,
Madus Limited,
Magic Compass Pty Limited,
Magnetic Asia Limited,
Mainstay Asia Limited,
Maltem Hong Kong Private Limited,
Man Hing Hong Properties Company Limited,
Mango Technology Consultant Limited,
Manpower,
mapwithyou,
Market Trend Interactive Solution Limited,
Master Dynamic Limited,
Match Talent Limited,
Maxson Network Limited,
Media Explorer Limited,
Medifast (Hong Kong) Limited,
MEDIMART,
MedTimes Medical Group Limited,
MEG ? Hong Kong School of Motoring,
MegaHub Limited,
Megasoft Limited,
Melco Resorts & Entertainment,
Messe Frankfurt (HK) Ltd,
Metalor Technologies (Hong Kong) Limited,
Metrojet Limited,
m-FINANCE Limited,
m-FINANCE Limited (Financial Technology Company),
MG Interactive Limited,
Michael Page,
Microware Limited,
Midas Associates Limited,
Midland Holdings Limited,
Milkyway Distribution Limited,
Million Tech Development Ltd,
Milton Exhibits Management (Greater China) Limited,
Ming Pao Holdings Ltd,
MIRUM / DesignerCity (HK) Ltd,
Mirum Hong Kong / DesignerCity (HK) Ltd,
Mobilesoft Technology (HK) Limited,
Mobilesoft Technology (HK) Ltd,
Monex Boom Securities (H.K.) Limited,
Moneysq Limited,
Moni-Media Limited,
Mooee Company Limited,
Moore Stephens Associates Ltd,
moovup (HK) Limited,
Morgan McKinley,
MotherApp Limited,
MRC (HRMS) Limited,
MSIG Insurance (Hong Kong) Limited,
M-Technix Consultants Limited,
Mtel Career Consulting,
Mtel Limited,
Mtel Ltd,
Multiable Company,
Multisoft Limited,
MyTV Super Limited,
N2N-AFE (Hong Kong) Limited,
Nan Fung Group,
Neat Limited,
NEC Hong Kong Limited,
Neo Derm (HK) Ltd,
NeoMas Professional Services Limited,
Nesta (Hong Kong) Limited,
Net Net IT Company,
New Asia Technology Development Limited,
New B Innovation Limited,
New World China Land Limited,
Newrecs Consultancy Limited,
Newtech Management Services Ltd,
NewTrek Systems Limited,
Nexify Limited,
Nexperia Hong Kong Limited,
Next Sourcing Limited,
Nigel Frank International,
Nikoyo (HK) Ltd,
Nirav Modi Limited,
Nityo Infotech Services Limited,
"Nord Anglia International School, Hong Kong Limited",
Northwest Investment Management (Hong Kong) Limited,
Novation Solutions Limited,
"Novi Footwear International Co., Limited",
now TV,
NST Recruitment Limited,
NTK Academic Group,
NTT Com Asia Limited,
Nuancetree Limited,
NYT Hong Kong Limited,
O P G HUMAN RESOURCES LIMITED,
Object Valley (Asia Pacific) Limited,
Ocean Sage Recruitment Consulting Limited,
Oceanx Technology Limited,
Octopus Holdings Limited,
Odoo Limited,
Olympus Corporation of Asia Pacific Limited,
Omnipres Company Limited,
OmniSource Limited,
One Cool Shop Limited,
One Pacific Limited,
Onebox Creative Limited,
OneTransact Limited,
Onion Creative Limited,
Open Creative Limited,
Openrice Limited,
OPM Systems Company Limited,
Optimum Talent Database,
Oracle Systems Hong Kong Ltd,
Orient Overseas Container Line Ltd (OOCL),
Oriental Watch Holdings Ltd,
ORIX Asia Limited,
Oursky Limited,
Pacific Apex Limited,
Pacific Career Limited - IT Search,
PacificLink iMedia Limited,
PacificLink iMedia Limited - Part of Accenture Interactive,
Pactera (Hong Kong) Limited,
Page Personnel,
Panalpina China Ltd,
PCCW Media,
PCCW Solutions,
PCCW Solutions Limited,
Pengtai Greater China Company Limited,
Peoplebank Hong Kong Limited,
PeopleLink Services Limited,
Pepper Up Public Relations Limited,
Perfect App Technology Limited,
Perfect Shape (Holdings) Limited,
Perrin Watsons Consulting,
"Persona Surgical Modelling Co., Limited",
Petra & Sons Capital (Asia) Limited,
Phillip Securities Group,
Pinnacle Enterprise Holdings Limited,
Pinpoint Asia Limited,
Pixel Magic Systems Limited,
Planon Hong Kong Limited,
Plastoform Industries Ltd,
PMAX Consultant Limited,
Pong Yuen Holdings Ltd,
Popular e-Learning (H.K.) Limited,
Practicus Limited,
Premier Aegis Recruitment,
Presslogic Limited,
Price.com.hk Limited,
Prime Insight,
Primetech Technology Limited,
PRIZM,
ProMax HR Solutions Limited,
Pro-Tech Technology (Asia) Limited,
Public Bank (Hong Kong) Limited,
Pure International (HK) Limited,
PwC,
PYE (Hong Kong) Limited,
Q P (HK) Limited,
Qualicom Innovations Asia Ltd,
Quality HealthCare Medical Services Ltd,
Qupital Limited,
R&B Group,
Rabbit Studio Limited,
Radica Systems Limited,
Randstad Hong Kong Limited,
Rapala VMC Hong Kong Co.,
RCMART Limited,
Reasonable Software House Limited ????????,
Recruit Logic Limited,
RecruitFirst Limited,
RecruitPRO Consultancy Hong Kong Limited,
Red Ocean Solutions Limited,
Red Soldier Limited,
Regal Hotels International,
RGF HR Agent Hong Kong Limited,
RHB Hong Kong Limited,
Rider Levett Bucknall Limited,
Ringus Solution Enterprise Limited,
Risksis Technology Limited,
Robert Half,
Robert Half Hong Kong Limited,
Robert Walters Hong Kong,
Roctec Technology Ltd,
RST Cloud (HK) Limited,
RXP Services Limited,
S Square System Limited,
S.W.I.F.T.,
Sa Sa Cosmetic Co Ltd,
SA Solution Limited,
SAE Magnetics (Hong Kong) Ltd,
Sage Technologies Ltd,
SalesCatalysts.com Limited,
Salt,
SALT Consulting International Company Limited,
Schenker International (H.K.) Limited,
Schmidt-iSoft Limited,
"SD System Co., Limited",
Seamatch Asia Limited,
Search & Select International Limited,
Season Components Co Ltd,
Seito Systems Ltd,
SenseTime Group Limited,
Seopoly Technology Company,
ServiceTech Systems Limited,
SGS Hong Kong Limited,
Shanghai Commercial Bank Ltd,
Sharp Point Limited,
Sheng Lian Button Accessories (H.K.) Company Limited,
Shergon Print Asia Limited,
Shinetown Telecommunication Limited,
Shiseido Hong Kong Limited,
Shun Hing Electronic Holdings Limited,
Shun Hing Electronic Trading Co Ltd,
Siemens Industry Software Limited,
Siemens Ltd,
Silver Cube Limited,
"Simatelex Manufactory Co., Ltd.",
Simcentric Solutions Limited,
Sime Darby Motor Group (HK) Limited,
Simplyout (HK) Co.,
SINO GROUP,
Sino Merchant Properties Limited,
SinoPac Securities (Asia) Limited,
Six People Map,
Sky 88 Technology Limited,
Skyplan Group Limited,
SmartDrop Limited,
SMARTECH CONSULTANTS CENTER-ENGINEERING SPECIALIST,
SmarTone Telecommunications Limited,
SML (Hong Kong) Limited,
SnagR Limited,
Softlink Medical Solution Limited,
SOGO Hong Kong Co Ltd,
Sontec Technology Company Ltd,
South China Media Ltd,
Speedy Group Corp. Limited,
Spencer Ogden,
Spencer Ogden (Hong Kong) Limited,
Spidernet Recruitment Services,
Sportshouse Limited,
SpotOn Consultancy Group Limited,
SquareT Limited,
Sswift Financial Information Technology Services Limited,
St. Paul's Hospital,
St. Teresa's Hospital,
STA Pacific Limited,
Stan Group (Holdings) Limited,
Startech Asia Limited,
Statsmaster Limited,
STELUX HOLDINGS LIMITED,
Steve Leung Designers Ltd,
Strategic Systems Consultants Limited,
Strawberry Cosmetics (Services) Limited,
Streamline Consultancy Limited,
Sumitomo Mitsui Banking Corporation,
Sun Life Hong Kong Ltd,
SunnyVision Limited,
Sunwa Marketing Company Limited,
Superhub Limited,
Swire Coca-Cola HK,
Swire Properties Limited ????????,
Swire Resources Ltd,
Tai Sang Land Development Ltd,
Takara Gaming,
TAL Apparel Limited,
Talent Blue Search Limited,
Talent International,
Talent TI International (HK) Limited,
Talented City Limited,
TalentQuest HR Limited,
Target On-Line Financial Ltd,
Tat Fung Textile Company Limited,
Tata Consultancy Services Limited,
Taylor Coulter,
TBS Interactive Limited,
TBWA Hong Kong,
"TCL Corporate Research (Hong Kong) Co., Limited",
Team-C Limited,
TEAMUP TECHNOLOGY LTD,
Tech Data Computer Service (Hong Kong) Limited,
Tech Search C&E Ltd (Since 1993),
Technology And Marketing Services Limited,
Techson Consulting Limited,
Tectura Hong Kong Ltd,
TEKsystems,
Telecom Digital Services Ltd,
Television Broadcasts Limited (TVB),
Ten Network Technology Limited,
Tencent Holdings Limited,
TERRA NOVA TRADING PRO LIMITED,
TFI Digital Media Limited,
Thales Transport & Security (Hong Kong) Limited,
The Career Works Limited,
The Chinese University of Hong Kong,
The English Schools Foundation,
The Great Eagle Group of Companies,
The Hong Kong General Chamber of Commerce,
The Hong Kong Institute of Certified Public Accountants,
The Hong Kong Jockey Club,
The Hong Kong Mortgage Corporation Limited,
The Hong Kong University of Science and Technology,
"The Hongkong Electric Co., Ltd",
"The Hongkong Electric Co., Ltd.",
The Jardine Engineering Corporation Ltd,
"The Pacific Insurance Co., Ltd.",
The Payment Cards Group Limited,
The Samaritan Befrienders Hong Kong,
The Sincere Company Limited,
theAnswr,
theOrigo Ltd.,
Think Technology Group,
Thinking Technology Limited,
Tink Labs Limited,
Titanfour International Pte Limited,
Titanicom Tech Limited,
Tofugear Limited,
TOP CAREER International,
Top Form International Limited,
Top Personnel Consultant,
Top Vista Digital Media Solutions Limited,
Toppan Forms (HK) Ltd,
Toppan Forms Card Technologies Limited,
Toppan Forms Computer Systems Ltd.,
Tradelink Electronic Commerce Limited,
Transact24 Ltd,
TransUnion Limited,
Tranthink Technology Service Limited,
Tree System Limited,
Triangle Recruitment,
Tristate Holdings Limited,
Trumptech (Hong Kong) Limited,
TSG Search Group Limited,
Twitchy Finger Limited,
TX24 Limited,
uBeing Mobility Limited,
UDomain Web Hosting Co Ltd,
Ufinance Asia Limited,
UGC Technology Limited,
UMP Healthcare Holdings Limited ??????????,
Union Honor International Enterprise Limited,
Union Medical Centre Ltd,
United Asia Finance Limited,
Uni-World Services Company Limited,
"Urban Spring Co., Limited",
UST Global (Hong Kong) Private Company Limited,
Vantis Solutions Limited,
Varmeego,
Velocity Business Solutions Limited,
Velocity Solutions Limited,
Venturenix Limited,
Vico Systems Limited,
Virtual Gaming Technology Limited,
VISEO ASIA PTE LTD,
Vistra (Hong Kong) Limited,
Viu,
VIXS Systems Hong Kong Limited,
Vocational Training Council,
VTech Communications Ltd,
VTech Corporate Services Ltd,
VTECH TELECOMMUNICATIONS LTD,
VTL-Solutions Ltd.,
W Consulting Company Limited,
Wai On Services Limited,
Wan Hai Lines (H K) Ltd,
Wave Media Limited,
We Software Limited,
Webster Personnel Agency Limited,
Welend Limited,
Well In Technology Development Limited,
Wellesley Associates Limited,
Wemine Limited,
WESURANCE Limited,
Whirlpool (Hong Kong) Ltd,
Wilson Communications Limited,
Wilson International Frozen Foods (H.K.) Ltd,
Wing Chit Industries Co Ltd,
Wing Keung Industrial International Limited,
Wise Information Service Engineering Limited,
Wizcore Asia Limited,
Wonderful Sky Financial Group Limited,
Wong's Electronics Company Limited,
World First Asia,
WSL Warehouse Systems Limited,
Wunderman HK,
X.ON Communications Ltd,
Xaness Interactive Limited,
Xintechnology Electronics Company Limited,
XML Asia Ltd,
Xpand Group,
Xponential Personnel Limited,
XY Capital Limited,
Y Investment Limited,
Yakoo Technology Limited,
YCH Logistics (HK) Ltd,
YFY Jupiter Limited,
YONYOU (HONGKONG) COMPANY LIMITED,
You Find Limited,
You Technologies Group (Hong Kong) Limited,
Youth Global Network Limited,
Yusen Logistics (Hong Kong) Limited,
ZhenHub Technologies Limited,
Zizsoft Limited,
Ztore HK Limited,
